reward,viol
-179.88766043356338,0
-203.69452678718233,6
-201.61428402997623,4
-171.3635606444423,1
-273.6428675967972,12
-220.68105929658174,6
-196.10988179482,4
-260.4112487773394,8
-165.8420532660694,0
-188.96199754903014,2
-176.0876741477019,0
-196.4432012266589,4
-170.55885520109675,0
-182.94262209044206,1
-175.71649049014448,0
-216.70509937992972,5
-214.36939365481788,5
-202.97698763725597,4
-176.6555870816327,2
-193.72834649888284,3
-181.36546548293782,2
-206.7069988367475,5
-179.3170700262856,0
-183.07858728318027,1
-208.63815750695045,4
-193.20671623888757,1
-180.36643941720106,0
-194.93944421298008,2
-215.98237240858282,5
-148.5271184289855,0
-222.16667917137096,5
-200.7743372830248,4
-201.7123267695314,2
-220.91775164328766,5
-321.29782397478806,18
-266.211105988347,12
-198.53050271733883,1
-198.70512318645717,3
-194.14499758958036,3
-210.35154078264765,4
-218.0181550954417,8
-183.13417320894018,1
-179.31301862895884,2
-262.1105379251773,11
-233.82348908558382,9
-217.14029372215725,6
-212.61134171530145,6
-196.13452759871663,2
-188.7411010432444,1
-239.01997313753213,7
-207.54294439912653,6
-223.1574960192908,6
-232.85685955999463,7
-255.86080879808182,10
-250.8036461893951,10
-209.43148923338427,4
-216.32857697798863,5
-264.5517028537882,11
-225.80827163063984,6
-272.4944489276014,13
-193.6993826496065,2
-232.25771145003756,8
-169.52635274083065,1
-229.8373409324589,8
-231.88448376760513,9
-177.3837068894766,2
-186.9303629062399,2
-199.51399235657433,3
-225.7462668967284,7
-265.24766571054454,12
-267.4295742655377,11
-170.31148856943636,0
-223.54756395749237,5
-176.53643165028544,0
-176.01339931552403,0
-226.54937766836062,6
-201.03137017376176,4
-190.8916897867318,2
-195.6172385996242,2
-211.13454732390983,3
-162.49510752236858,0
-198.2396001919763,3
-213.54543778104102,4
-203.3339487572139,3
-199.5007810499226,3
-216.44308676574454,4
-194.03435026489615,2
-179.68461756095206,2
-169.4453628462259,0
-195.04605009140235,3
-200.5026036042124,2
-191.24924236604502,2
-183.50289797442372,1
-181.38936769756836,1
-295.90481191417626,14
-216.99630576526738,5
-217.74299423020514,7
-171.00762499682136,0
-255.60246736225287,10
-172.32208428828704,0
-253.52278491670225,9
-178.06712042304116,0
-261.53787288134606,11
-215.03238744508545,6
-233.1805524968596,7
-293.16355642065093,14
-194.8825758218189,2
-196.95161717320448,2
-229.38161023332304,7
-208.0613652751306,5
-185.9400927381379,1
-169.74089341787501,1
-266.8257146432605,13
-180.70868280428428,2
-178.8568713373741,0
-177.5500485017103,1
-222.05853131171492,6
-347.5620941454218,20
-158.82097099642104,0
-185.6749755187196,2
-188.81444113021826,2
-218.27422055639522,6
-225.87137904163896,6
-227.84080295205263,7
-314.66854181283696,18
-201.77376279047945,4
-234.36499076121396,7
-268.7765309637543,12
-170.66831238982425,1
-193.7596362136144,2
-242.68950814546324,10
-246.6472717113494,9
-275.53615345311783,13
-238.21857652744583,7
-175.61805114208315,1
-178.0901692357558,0
-253.6137781534651,8
-222.49615649387624,6
-156.72081200479437,0
-173.98645137701294,0
-225.79643006878862,5
-184.58476786826594,2
-224.84903629218275,5
-226.80989888713154,7
-174.0958560587442,1
